Tipo de Solicitud,Nro. GEX,Fecha Vencimiento,Estado,Regional,Departamento,Tecnicos,Fecha de Solicitud,Fecha de Resolución,Fecha de Inscripción,Caudal,Volumen,Uso,Destino,Latitud,Longitud,Mes Inicio,Mes Final,Horas x Año,Id Solicitud,Sección y localidad catastral,Tipo de acuifero,profundidad,Diámetro,Caudal Ensayado,Nivel Estático,Nivel Dinámico,Accion Solicitud,Tipo Resolución,Número de Padrón,Dias_Demora,Es_Riego
Proyecto de Aprovechamiento,2013/14000/12126,2024-02-27,Registrada,SAN JOSÉ,SAN JOSÉ,"Abelenda, Daniel",2013-09-18,2014-02-27,2014-03-21,33.0,213840,Industrial,Alimentos y bebidas,-34.39469289,-56.53842679,12.0,11.0,6480,242859,,,36.0,0.35,33.0,12.0,20.0,Nueva,Permiso de uso,2544,162.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-363,2024-03-13,Registrada,MONTEVIDEO,MONTEVIDEO,"Carrión, Roberto",2013-09-24,2014-03-13,2014-04-08,15.0,54000,Otros usos,Comercial y servicios,-34.87195851,-56.11111158,12.0,11.0,3600,242873,,,42.0,0.16,20.0,19.0,35.0,Nueva,Permiso de uso,65414,170.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-368,2024-01-16,Registrada,MONTEVIDEO,MONTEVIDEO,"Carrión, Roberto",2013-09-26,2014-01-16,2014-01-20,6.0,21600,Otros usos,Comercial y servicios,-34.85830269,-56.09281986,12.0,11.0,3600,242878,,,68.0,0.16,7.0,15.0,56.0,Nueva,Permiso de uso,60636,112.0,0
Proyecto de Aprovechamiento,2013/14000/12877,2024-06-30,Registrada,SAN JOSÉ,SAN JOSÉ,"Lanfranco Muñoz, Martín",2013-10-02,2015-01-09,2015-01-22,30.0,86400,Riego,Frutales,-34.65714106,-56.81126765,12.0,5.0,2880,242889,6.0,,26.0,355.0,60.0,4.5,17.5,Nueva,Permiso de uso,5834,464.0,1
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-407,2011-11-11,Registrada,TACUAREMBÓ,TACUAREMBÓ,"ANDRÉS,PÉREZ",2013-10-28,2015-07-08,2015-08-24,0.8,4608,Consumo humano,Abastecimiento a poblaciones,-31.88568639,-55.13276569,12.0,11.0,5760,242921,,,62.0,152.4,0.8,8.0,36.0,Nueva,Permiso de uso,1496,618.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-408,2050-12-01,Registrada,RÍO BRANCO,TACUAREMBÓ,"ANDRÉS,PÉREZ",2013-10-28,2015-07-08,2015-09-30,21.0,120960,Consumo humano,Abastecimiento a poblaciones,-32.45251746,-55.11058373,12.0,11.0,5760,242922,,,50.0,152.4,21.0,11.0,12.0,Nueva,Permiso de uso,3242,618.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-421,2024-02-20,Registrada,MONTEVIDEO,MONTEVIDEO,"Rodríguez, Norma",2013-11-07,2014-02-20,2014-03-06,9.9,64152,Industrial,Alimentos y bebidas,-34.82941051,-56.28522252,12.0,11.0,6480,242937,,,32.5,0.3,9.9,1.7,13.0,Nueva,Permiso de uso,422431,105.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-429,2024-04-03,Registrada,FRAY BENTOS,COLONIA,"Montaño Xavier, Jorge",2013-11-13,2014-04-03,2014-05-06,5.0,18000,Consumo humano,Uso doméstico,-33.88993972,-58.33278927,12.0,11.0,3600,242945,6.0,,65.0,0.3,7.0,4.48,44.0,Nueva,Permiso de uso,23181,141.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-441,2024-06-23,Registrada,FRAY BENTOS,COLONIA,"Montaño, Mauricio",2013-11-25,2014-06-23,2014-07-03,4.0,23040,Industrial,Alimentos y bebidas,-34.30983011,-57.21984488,12.0,11.0,6480,242959,,,27.0,0.25,4.0,9.0,13.0,Nueva,Permiso de uso,18487,210.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-444,2024-06-24,Registrada,FRAY BENTOS,COLONIA,"Montaño, Mauricio",2013-11-26,2014-06-24,2014-07-03,1.2,6912,Industrial,Alimentos y bebidas,-34.30668029,-57.21083049,12.0,11.0,6480,242962,10.0,,49.0,0.25,1.2,10.0,30.0,Nueva,Permiso de uso,22648,210.0,0
